time,0#0,0#1,0#2,0#3,0#4,1#0,1#1,1#2,1#3,1#4,2#0,2#1,2#2,2#3,2#4,3#0,3#1,3#2,3#3,3#4,4#0,4#1,4#2,4#3,4#4,myVelocity,myHeading,myX,myY,mySection,averageEnemyDistance,gotHit
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,-2.0000000000000417,232.7776378901293,645.3888816606894,283.8147298452448,4#2,109.50261087195406,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8.0,232.7776378901293,540.2780885903564,203.96661665447692,3#1,231.5341749304309,1
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,-8.0,151.21252284023282,531.5941586208472,262.84474588216494,3#2,199.9653467798449,0
105,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-8.0,151.21252284023282,485.3641938713158,346.9802934186081,3#2,233.88222089313936,1
147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-6.83375698489493,85.76331904033383,424.4780402583734,371.62804555755673,2#3,302.95065196925344,0
191,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.0,92.63368197024964,244.18257276719544,378.7937348063337,1#3,279.0288639317289,1
250,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.968138864993795,54.81217237707301,192.2709090935064,417.1399763411449,1#3,293.7988794653636,1
293,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,94.31446462126335,251.8662558423414,446.9030008476236,1#3,321.3509666993885,0
327,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0,69.00917299508623,291.8032421239937,460.75962408647854,1#3,318.9073766494071,0
357,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,69.00917299508619,418.7779814104085,509.4773373245502,2#4,372.00920681010376,0
383,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,69.00917299508569,527.0,551.0,3#4,424.7641751906424,0
423,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.0,342.1301216274227,580.6087278973391,379.4132404700571,3#3,466.3889833859144,1
463,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.766303864771663,342.1301216274211,642.0,189.0,4#1,489.66248400387457,0
480,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-4.749999999999998,342.34987578007,657.2359837781665,141.11547955433377,4#1,479.6237552385983,0
506,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.937471100952375,287.1773717408336,679.9024217411505,105.88199739673529,4#0,532.6848099838504,0
545,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,79.48925711834296,703.1020956452345,137.03163273946447,4#1,543.0473877609938,1
595,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,120.8149931521394,655.0,194.0,4#1,482.9670693924739,1
640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.0,110.4668958260264,479.8962867347105,259.5859493328827,2#2,325.7520391244118,1
132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,236.5615592248104,262.50343504372,169.653122192058,1#1,412.2223380411786,1
174,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-8.0,236.5615592248104,463.6127168892269,302.4539382873834,2#2,247.57262588799608,1
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,165.50519397717704,638.749707761497,161.96817033384897,3#1,405.8223570368119,1
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.499999999999997,172.5041423602699,535.7831808645701,350.2478254292663,3#2,171.42855857622754,1
685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,223.09261599514977,333.38019186576,189.5030235693643,2#1,343.6509857398928,0
708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5805285848717983,223.09261599514977,230.0,79.0,1#0,552.4816739042119,0
19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.176345449603885,188.6945502197268,431.35564874844965,309.3256544100406,2#2,232.25062955545047,0
41,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,193.9518842013715,413.7082337409656,237.10967704674897,2#1,247.86259469589197,1
73,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,193.9518842013715,378.02440124701286,93.47589237704288,2#0,420.58575451881296,0
89,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,193.9518842013729,363.0,33.0,2#0,521.0785109652821,0
121,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,148.90928224168255,302.0,136.0,1#1,400.4300224619325,0
163,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0,149.3628149888127,198.0416141091673,311.52394139539115,1#2,229.18222733452885,1
166,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,149.36281498881274,179.69601659902042,342.4987545828132,1#2,222.6360131559038,1
185,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2668882321259491,149.36281498881254,164.0,369.0,1#3,212.1421839677405,1
209,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,107.14505824866,180.9911155307645,358.37256692734087,1#2,245.52672928797165,0
232,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,107.14505824866004,308.08079258436885,319.1652463556603,1#2,298.1195776023833,0
270,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1967288200462312,107.14505824866018,440.37113721496775,278.35351348547346,2#2,389.09782983555255,0
293,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,119.592296359358,501.9128027112792,245.38285278124889,3#2,485.3250095876054,0
318,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4807794028934258,113.474252938492,548.0,218.0,3#1,600.0159440795669,1
357,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,165.11455316777565,527.0704302983628,290.8713838154796,3#2,510.8499795940661,0
381,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,165.11455316769351,497.0,404.0,3#3,462.3150737971785,0
405,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,179.49999999999994,449.6854622393099,384.53411102615314,2#3,385.8921917016676,0
428,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,243.0,403.199838501897,369.2832653922034,2#3,393.32287279052855,0
453,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,282.49470903542993,270.29018077250265,396.6117298656654,1#3,239.20756368209987,0
476,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,333.1084806779306,269.6998378888906,371.01440416275113,1#3,257.1415015747993,0
502,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,333.1084806779307,323.29770834530666,265.3284624177053,2#2,391.2527654873965,0
525,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,333.0656999617475,362.0678454581149,188.6077137982001,2#1,436.8210100454872,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.7485925669090898,274.7400320180336,393.06190826290384,314.1278605616596,2#2,212.86457852705908,0
44,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-5.25,336.09920634970734,402.83964745060325,275.80161494523867,2#2,259.83081006615777,0
82,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,335.7957581540879,416.9463882678694,243.6835310549561,2#2,289.5459220106895,0
110,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,335.79575815408896,375.3393306876448,336.24510445634826,2#2,287.50799427149565,0
143,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.16330751528498,263.5458136808317,397.6744941619496,331.61910990843813,2#2,244.43804599295035,0
161,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3055444611096705,312.6024556606853,395.093188804641,341.40031011333366,2#2,334.39102994577235,0
201,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,259.3309218821655,555.2300208798363,364.5816930755307,3#3,421.92446830649305,0
218,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,259.3309218821656,680.0345535416516,388.0940010665783,4#3,521.708340140134,0
254,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,177.359580466993,679.0505150604746,375.8273578175324,4#3,424.87089823630095,0
278,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,177.34433694851498,685.1665330997376,243.9691221121224,4#2,451.1656316825063,0
302,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,179.59075139196506,686.3285630469679,180.00117342448658,4#1,433.4767859843601,0
318,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,179.5907513919651,686.8856916918267,102.00316314426804,4#0,421.4730084707481,0
351,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0,83.86010604790772,586.8364575204356,101.27762006318603,3#0,379.20368516158686,0
376,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,74.72043080373604,481.0353485497501,89.7364709133118,3#0,272.2543480901047,0
418,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0,103.25345645917594,425.7654942283857,101.40650680016644,2#0,321.6061558090775,1
453,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,151.17973161622743,368.0,151.0,2#1,310.88054039078463,1
453,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,151.17973161622743,368.0,151.0,2#1,310.88054039078463,1
469,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.0,237.67973161622737,376.17413349391865,169.0406391549975,2#1,245.2366687621052,1
471,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,251.8932951950591,379.8119414971189,170.70387483638845,2#1,232.67817627426552,1
546,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.0,264.8158266844646,591.2093645608044,206.86334535557785,3#1,370.2415915251565,1
610,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,292.16898448186254,602.6482201356596,244.7315259467609,3#2,416.83627962682505,1
27,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,60.80843257303468,241.2517777034069,493.3656601195476,1#4,180.2354862225752,1
329,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0,119.93978000138432,460.29031626896335,559.8264511488748,2#4,286.0524167788308,1
336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,119.93978000138338,427.0,579.0,2#4,233.22339204242104,1
352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,222.43978000138333,419.0824757605903,566.5208740322392,2#4,202.20077880477007,1
352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,222.43978000138333,419.0824757605903,566.5208740322392,2#4,202.20077880477007,1
376,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,284.6783079789919,341.5025549167907,550.1996939296731,2#4,240.01299909198644,1
390,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,284.67830797898927,285.58254615225684,564.8474075842024,1#4,273.96786036957275,1
426,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,185.38026450148297,179.0,448.0,1#3,196.1680676480125,1
450,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,198.260581581427,160.34106653886678,390.9857880583149,1#3,273.54345795453185,0
479,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057023307344995,198.26058158126227,129.0,296.0,0#2,336.66492098361744,0
511,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,198.2962183930344,90.7005654022374,180.1675636555472,0#1,468.442354134436,0
542,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,198.2962183930344,56.16828830589403,75.72848170563066,0#0,463.5173230768879,0
568,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,235.50000000000003,53.77717627830668,57.38185371083023,0#0,452.07756144055656,0
593,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0031124329333365,199.06663852603756,102.65699910317612,48.991110114766535,0#0,422.8593146662374,0
615,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,271.7917529242404,177.9941331918878,60.06892759373814,1#0,392.6346902656463,0
639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0,271.7917529242404,312.928127808364,55.84789728813809,1#0,376.7784494898826,0
664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,309.9481649975837,360.5108595226717,63.64345912259325,2#0,299.20060160367325,0
688,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,309.89222935925136,292.7516544348387,120.6123972076196,1#1,296.37982387470305,0
711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,309.8922293592514,190.70711978111203,205.91135937776772,1#1,312.64196775225173,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8.0,196.50976446459845,123.64051555648632,325.6469748214278,0#2,472.18497053698,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.0,194.70830389968276,105.66813930334588,262.68814972703206,0#2,474.2517668043181,0
